product_name,url,origin,process,roast_level,roast_level_agtron,target_finish_temp,variety,altitude,altitude_numeric,bean_density_proxy,drying_method,harvest_season,roaster_machine,preferred_extraction,caffeine_mg,flavor_notes_raw,flavor_notes_parsed,flavor_categories,roast_batch,roast_roast_date,roast_charge_temp,roast_duration,duration_seconds,duration_minutes,data_points,start_temp,finish_temp,min_temp,max_temp,turning_point_temp,turning_point_time
ColombiaAponteVillageHoney,https://onyxcoffeelab.com/products/colombia-aponte-village-honey-25,Colombia,Red Honey,Expressive Light,127,395.0,Field Blend,,,,Raised-Bed Dried,April,Loring S70 Peregrine,Filter & Espresso,,Rainier Cherry Butterscotch Green Apple Papaya,"RAINIER CHERRY, BUTTERSCOTCH, GREEN APPLE, PAPAYA","fruity, caramel",93250,Oct 31,426.3,10,603,10.05,604,426.3,401.6,139.4,426.3,139.4,40
DecafColombiaInzáSanAntonio,https://onyxcoffeelab.com/products/decaf-colombia-inza-san-antonio,Colombia,Washed,Moderate,99,410.0,"Caturra, Bourbon",,,,Raised-Bed Dried,February '24,Loring S70 Peregrine,Filter & Espresso,24.0,Red Apple Raw Sugar Pear Maple,"RED APPLE, RAW SUGAR, PEAR, MAPLE","fruity, sweet",93305,Oct 31,425,10,575,9.583333333333334,576,425.0,414.6,135.1,425.0,135.1,45
Eclipse,https://onyxcoffeelab.com/products/eclipse,Colombia,Washed,Dark,62,415.0,Caturra,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-35,Filter,262.0,Baker's Chocolate Burnt Sugar Smoked Vanilla Bean,"BAKER'S CHOCOLATE, BURNT SUGAR, SMOKED VANILLA BEAN","chocolate, sweet",93249,Oct 31,434.7,14,861,14.35,862,434.7,427.3,163.0,434.7,163.0,101
EthiopiaHambelaAlakaNatural,https://onyxcoffeelab.com/products/ethiopia-hambela-alaka-natural,Ethiopia,Natural,Expressive Light,125,395.0,Landrace,,,,Raised-Bed Dried,November,Loring S70 Peregrine,Filter & Espresso,,Raspberry Jasmine Apple Butter Sweet Tea,"RASPBERRY, JASMINE, APPLE BUTTER, SWEET TEA","fruity, floral, tea, sweet",93220,Oct 30,428.1,10,583,9.716666666666667,584,428.1,406.1,147.3,428.1,147.3,47
Geometry,https://onyxcoffeelab.com/products/geometry,"Colombia, Ethiopia",Washed,Expressive Light,135,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,215.0,Berries Stone Fruit Earl Grey Honeysuckle Round,"BERRIES, STONE FRUIT, EARL GREY, HONEYSUCKLE, ROUND","fruity, tea, floral, sweet, body",93302,Oct 31,426,9,564,9.4,565,426.0,404.0,144.2,426.7,144.2,42
IndiaRatnagiriEstate,https://onyxcoffeelab.com/products/india-ratnagiri-estate,India,Anaerobic Washed,Expressive Light,127,395.0,Catuai,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Almond Honeycomb Vanilla Pear,"ALMOND, HONEYCOMB, VANILLA, PEAR","nutty, sweet",93254,Oct 31,418.6,11,681,11.35,682,418.6,396.1,165.6,418.6,165.6,70
Monarch,https://onyxcoffeelab.com/products/monarch,"Colombia, Ethiopia",Washed,Expressive Dark,99,410.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-70,Espresso,230.0,Dark Chocolate Molasses Red Wine Dried Berries Thick & Syrupy,"DARK CHOCOLATE, MOLASSES, RED WINE, DRIED BERRIES, THICK & SYRUPY","chocolate, caramel, fruity, body",93287,Oct 31,453.9,13,761,12.683333333333334,762,453.9,412.3,166.6,453.9,166.6,101
PanamaFincaDeborahNirvanaGesha,https://onyxcoffeelab.com/products/panama-finca-deborah-nirvana-gesha,Panama,Anaerobic Natural,Expressive Light,122,395.0,Gesha,,,,Raised-Bed Dried,April,Diedrich CR-35,Filter & Espresso,,Grape Soda Lime Violet Jasmine,"GRAPE SODA, LIME, VIOLET, JASMINE","fruity, citrus, floral",92953,Oct 27,418.6,12,694,11.566666666666666,695,418.6,400.5,167.0,418.6,167.0,72
PowerNap,https://onyxcoffeelab.com/products/power-nap,"Colombia, Ethiopia",Washed,Light,101,405.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter,129.0,Brown Sugar Cocoa Silky Floral Peach,"BROWN SUGAR, COCOA, SILKY, FLORAL, PEACH","caramel, sweet, chocolate, body, floral, fruity",93258,Oct 31,425.5,10,581,9.683333333333334,582,425.5,409.1,139.7,426.2,139.7,46
SouthernWeather,https://onyxcoffeelab.com/products/southern-weather,"Honduras, Colombia, Ethiopia",Washed,Light,123,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter,244.0,Milk Chocolate Plum Candied Walnuts Juicy & Citrus Finish,"MILK CHOCOLATE, PLUM, CANDIED WALNUTS, JUICY & CITRUS FINISH","chocolate, fruity, nutty, citrus",93310,Oct 31,429.5,10,627,10.45,628,429.5,407.1,148.4,429.5,148.4,46
TropicalWeather,https://onyxcoffeelab.com/products/tropical-weather,Ethiopia,"Washed, Natural",Expressive Light,126,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,215.0,Mixed Berries Sweet Tea Raw Honey Plum,"MIXED BERRIES, SWEET TEA, RAW HONEY, PLUM","fruity, tea, sweet",93245,Oct 31,424,10,591,9.85,592,424.0,401.9,142.9,424.0,142.9,40
UgandaLongMilesLunarStationNatural,https://onyxcoffeelab.com/products/uganda-long-miles-lunar-station,Uganda,Natural,Expressive Light,126,395.0,SL28,,,,Raised-Bed Dried,June,Diedrich CR-35,Filter & Espresso,,Rose Cranberry Milk Chocolate Plum,"ROSE, CRANBERRY, MILK CHOCOLATE, PLUM","floral, fruity, chocolate",93257,Oct 31,412.3,11,682,11.366666666666667,683,412.3,396.0,159.3,412.3,159.3,71
