product_name,url,origin,process,roast_level,roast_level_agtron,target_finish_temp,variety,altitude,altitude_numeric,bean_density_proxy,drying_method,harvest_season,roaster_machine,preferred_extraction,caffeine_mg,flavor_notes_raw,flavor_notes_parsed,flavor_categories,roast_batch,roast_roast_date,roast_charge_temp,roast_duration,duration_seconds,duration_minutes,data_points,start_temp,finish_temp,min_temp,max_temp,turning_point_temp,turning_point_time
Eclipse,https://onyxcoffeelab.com/products/eclipse,Colombia,Washed,Dark,62,415.0,Caturra,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-35,Filter,262.0,Baker's Chocolate Burnt Sugar Smoked Vanilla Bean,"BAKER'S CHOCOLATE, BURNT SUGAR, SMOKED VANILLA BEAN","chocolate, sweet",93082,Yesterday at 10:17 am,424.6,14,865,14.416666666666666,866,424.6,427.3,163.4,427.3,163.4,98
EcuadorHaciendaLaPapayaSidra,https://onyxcoffeelab.com/products/ecuador-hacienda-la-papaya-sidra,Ecuador,Washed,Expressive Light,131,395.0,Sidra,,,,Raised-Bed Dried,September '24,Diedrich CR-35,Filter & Espresso,,Clove Red Apple Molasses Milk Chocolate,"CLOVE, RED APPLE, MOLASSES, MILK CHOCOLATE","spice, fruity, caramel, chocolate",93194,Today at 1:17 pm,409.8,11,644,10.733333333333333,645,409.8,400.3,165.6,409.8,165.6,68
EcuadorJoseJijon,https://onyxcoffeelab.com/products/ecuador-jose-jijon-25,Ecuador,Dry Washed,Moderate,120,395.0,Typica Mejorado,,,,Raised-Bed Dried,September,Diedrich CR-35,Filter & Espresso,,Orange Blossom Pear Raw Sugar Papaya,"ORANGE BLOSSOM, PEAR, RAW SUGAR, PAPAYA","citrus, sweet",93164,Today at 9:34 am,407.8,11,668,11.133333333333333,669,407.8,397.0,161.1,407.8,161.1,70
ElSalvadorSantaRosa,https://onyxcoffeelab.com/products/el-salvador-santa-rosa-25,El Salvador,Washed,Expressive Light,130,395.0,Pacamara,,,,Raised-Bed Dried,February,Loring S70 Peregrine,Filter & Espresso,,Fig Black Tea Concord Grape Milk Chocolate,"FIG, BLACK TEA, CONCORD GRAPE, MILK CHOCOLATE","tea, fruity, chocolate",91322,Sep 30,423.9,10,601,10.016666666666667,602,423.9,405.4,150.3,423.9,150.3,44
ElSalvadorSantaRosaHoney,https://onyxcoffeelab.com/products/el-salvador-santa-rosa-honey-25,El Salvador,Red Honey,Light,125,395.0,Pacamara,,,,Raised-Bed Dried,February,Loring S70 Peregrine,Filter & Espresso,,Rose Concord Grape Milk Chocolate Pink Grapefruit,"ROSE, CONCORD GRAPE, MILK CHOCOLATE, PINK GRAPEFRUIT","floral, fruity, chocolate, citrus",92123,Oct 14,353.4,10,581,9.683333333333334,582,353.4,406.0,148.1,406.0,148.1,41
EthiopiaBochesaAnaerobicWashed,https://onyxcoffeelab.com/products/ethiopia-bochesa-anaerobic-washed,Ethiopia,Anaerobic Washed,Expressive Light,128,395.0,Landrace,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Peach Jasmine Yellow Pear Caramel,"PEACH, JASMINE, YELLOW PEAR, CARAMEL","fruity, floral, caramel",92948,Oct 27,411.4,11,650,10.833333333333334,651,411.4,398.1,159.1,411.4,159.1,70
EthiopiaGattaHoney,https://onyxcoffeelab.com/products/ethiopia-gatta-honey,Ethiopia,White Honey,Expressive Light,130,395.0,Landrace,,,,Raised-Bed Dried,March,Loring S70 Peregrine,Filter,,Apricot Honey Sweet Tea Yellow Pear,"APRICOT, HONEY, SWEET TEA, YELLOW PEAR","fruity, sweet, tea",93021,Oct 28,412,11,650,10.833333333333334,651,412.0,397.9,159.3,412.0,159.3,68
EthiopiaGeraEstateAnaerobic,https://onyxcoffeelab.com/products/ethiopia-gera-estate-anaerobic,Ethiopia,Anaerobic Natural,Expressive Light,127,395.0,Landrace,,,,Raised-Bed Dried,October,Diedrich CR-35,Filter & Espresso,,Raspberry Magnolia Watermelon Vanilla,"RASPBERRY, MAGNOLIA, WATERMELON, VANILLA","fruity, sweet",93196,Today at 1:34 pm,408,11,682,11.366666666666667,683,408.0,401.2,158.0,408.0,158.0,72
EthiopiaHamashoAnaerobicNatural,https://onyxcoffeelab.com/products/ethiopia-hamasho-anaerobic-natural,Ethiopia,Anaerobic Natural,Expressive Light,130,395.0,Landrace,,,,Raised-Bed Dried,March,Diedrich CR-35,Filter & Espresso,,Strawberry Vanilla Custard Mango Anise,"STRAWBERRY, VANILLA CUSTARD, MANGO, ANISE","fruity, sweet",93212,Today at 3:32 pm,418.1,11,653,10.883333333333333,654,418.1,397.2,158.4,418.1,158.4,68
EthiopiaHambelaAlakaNatural,https://onyxcoffeelab.com/products/ethiopia-hambela-alaka-natural,Ethiopia,Natural,Expressive Light,125,395.0,Landrace,,,,Raised-Bed Dried,November,Loring S70 Peregrine,Filter & Espresso,,Raspberry Jasmine Apple Butter Sweet Tea,"RASPBERRY, JASMINE, APPLE BUTTER, SWEET TEA","fruity, floral, tea, sweet",93216,Today at 4:08 pm,428.7,10,592,9.866666666666667,593,428.7,407.2,144.2,428.7,144.2,42
EthiopiaShakisoWessiStationNatural,https://onyxcoffeelab.com/products/ethiopia-shakiso-wessi-station-natural,Ethiopia,Natural,Moderate,71,415.0,Landrace,,,,Raised-Bed Dried,N/A,Loring S70 Peregrine,Filter & Espresso,,Cranberry Smoked Vanilla Bean Grapefruit Sweet Tea,"CRANBERRY, SMOKED VANILLA BEAN, GRAPEFRUIT, SWEET TEA","fruity, sweet, citrus, tea",92590,Oct 21,426.1,12,724,12.066666666666666,725,426.1,414.0,149.7,426.1,149.7,45
Geometry,https://onyxcoffeelab.com/products/geometry,"Colombia, Ethiopia",Washed,Expressive Light,135,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,215.0,Berries Stone Fruit Earl Grey Honeysuckle Round,"BERRIES, STONE FRUIT, EARL GREY, HONEYSUCKLE, ROUND","fruity, tea, floral, sweet, body",93187,Today at 12:44 pm,425.4,9,563,9.383333333333333,564,425.4,404.5,144.0,425.4,144.0,43
GuatemalaFincaLibanoGesha,https://onyxcoffeelab.com/products/guatemala-finca-libano-gesha,Guatemala,Washed,Expressive Moderate,130,395.0,Gesha,,,,Raised-Bed Dried,February,Diedrich CR-35,Filter & Espresso,,Raw Sugar Oolong Tea Peach Jasmine,"RAW SUGAR, OOLONG TEA, PEACH, JASMINE","sweet, tea, fruity, floral",93173,Today at 10:29 am,413.2,10,619,10.316666666666666,620,413.2,398.3,167.2,413.2,167.2,72
IndiaKerehakluEstate,https://onyxcoffeelab.com/products/india-kerehaklu-estate,India,Culture-Innoculated Washed,Expressive Light,129,395.0,Sarchimore,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter,,Pear Herbal Tea Cashew Clove,"PEAR, HERBAL TEA, CASHEW, CLOVE","tea, herbal, spice",92642,Oct 22,410.5,10,616,10.266666666666667,617,410.5,397.2,163.8,410.5,163.8,70
IndiaRatnagiriEstate,https://onyxcoffeelab.com/products/india-ratnagiri-estate,India,Anaerobic Washed,Expressive Light,127,395.0,Catuai,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Almond Honeycomb Vanilla Pear,"ALMOND, HONEYCOMB, VANILLA, PEAR","nutty, sweet",92639,Oct 22,408.2,11,686,11.433333333333334,687,408.2,396.0,163.2,408.2,163.2,70
IndonesiaHendraMaulizarAnaerobic,https://onyxcoffeelab.com/products/indonesia-hendra-maulizar-anaerobic-natural,Indonesia,Anaerobic Natural,Expressive Light,126,395.0,Abbysinia,,,,Raised-Bed Dried,September,Diedrich CR-35,Filter & Espresso,,Hibiscus Guava Plantain Winey,"HIBISCUS, GUAVA, PLANTAIN, WINEY",floral,93061,Yesterday at 8:22 am,394.7,12,691,11.516666666666667,692,394.7,401.4,160.0,401.4,160.0,69
KenyaGichangiEstateAA,https://onyxcoffeelab.com/products/kenya-gichangi-estate-aa,Kenya,Dry Washed,Expressive Light,129,395.0,"SL28, SL34, Ruiru 11, Batian",,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Applesauce Grapefruit Brown Sugar Nutmeg,"APPLESAUCE, GRAPEFRUIT, BROWN SUGAR, NUTMEG","fruity, citrus, caramel, sweet, nutty, spice",93156,Today at 8:51 am,419.7,11,635,10.583333333333334,636,419.7,398.1,161.1,419.7,161.1,71
KenyaKibingoEstate,https://onyxcoffeelab.com/products/kenya-kibingo-estate,Kenya,Dry Washed,Expressive Light,128,395.0,"SL28, SL34",,,,Raised-Bed Dried,November,Diedrich CR-35,Filter & Espresso,,Blackberry Sweet Lemon Black Cherry Yellow Pear,"BLACKBERRY, SWEET LEMON, BLACK CHERRY, YELLOW PEAR","fruity, citrus, sweet",93005,Oct 28,407.1,10,619,10.316666666666666,620,407.1,398.7,157.8,407.1,157.8,76
Monarch,https://onyxcoffeelab.com/products/monarch,"Colombia, Ethiopia",Washed,Expressive Dark,99,410.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-70,Espresso,230.0,Dark Chocolate Molasses Red Wine Dried Berries Thick & Syrupy,"DARK CHOCOLATE, MOLASSES, RED WINE, DRIED BERRIES, THICK & SYRUPY","chocolate, caramel, fruity, body",93217,Today at 4:13 pm,441,13,799,13.316666666666666,800,441.0,411.4,163.4,441.0,163.4,99
PowerNap,https://onyxcoffeelab.com/products/power-nap,"Colombia, Ethiopia",Washed,Light,101,405.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter,129.0,Brown Sugar Cocoa Silky Floral Peach,"BROWN SUGAR, COCOA, SILKY, FLORAL, PEACH","caramel, sweet, chocolate, body, floral, fruity",93106,Yesterday at 1:14 pm,426.4,10,586,9.766666666666667,587,426.4,408.9,140.4,426.4,140.4,43
SebastianRamirezWhiteHoneyGesha,https://onyxcoffeelab.com/products/sebastian-ramirez-white-honey-gesha,Colombia,White Honey,Expressive Light,120,395.0,Gesha,,,,Patio Dried,January,Diedrich CR-35,Filter & Espresso,,Jasmine Pineapple Lime Manuka Honey,"JASMINE, PINEAPPLE, LIME, MANUKA HONEY","floral, fruity, citrus, sweet",93018,Oct 28,407.1,12,707,11.783333333333333,708,407.1,402.8,160.9,407.1,160.9,71
SouthernWeather,https://onyxcoffeelab.com/products/southern-weather,"Honduras, Colombia, Ethiopia",Washed,Light,123,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter,244.0,Milk Chocolate Plum Candied Walnuts Juicy & Citrus Finish,"MILK CHOCOLATE, PLUM, CANDIED WALNUTS, JUICY & CITRUS FINISH","chocolate, fruity, nutty, citrus",93213,Today at 3:34 pm,424.9,11,636,10.6,637,424.9,407.0,148.3,424.9,148.3,45
Telos,https://onyxcoffeelab.com/products/telos,El Salvador,Washed,Expressive Light,130,395.0,Pacamara,,,,Raised-Bed Dried,February,Diedrich CR-35,Filter & Espresso,,Raisin Black Tea Rose Cara Cara Orange,"RAISIN, BLACK TEA, ROSE, CARA CARA ORANGE","tea, floral, citrus",93170,Today at 10:14 am,416.1,12,732,12.2,733,416.1,403.5,151.9,416.1,151.9,79
TropicalWeather,https://onyxcoffeelab.com/products/tropical-weather,Ethiopia,"Washed, Natural",Expressive Light,126,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,215.0,Mixed Berries Sweet Tea Raw Honey Plum,"MIXED BERRIES, SWEET TEA, RAW HONEY, PLUM","fruity, tea, sweet",93109,Yesterday at 1:38 pm,427,10,586,9.766666666666667,587,427.0,403.1,147.0,427.0,147.0,44
UgandaLongMilesLunarStationNatural,https://onyxcoffeelab.com/products/uganda-long-miles-lunar-station,Uganda,Natural,Expressive Light,126,395.0,SL28,,,,Raised-Bed Dried,June,Diedrich CR-35,Filter & Espresso,,Rose Cranberry Milk Chocolate Plum,"ROSE, CRANBERRY, MILK CHOCOLATE, PLUM","floral, fruity, chocolate",93191,Today at 1:00 pm,419.2,11,679,11.316666666666666,680,419.2,396.1,166.5,419.2,166.5,71
