product_name,url,origin,process,roast_level,roast_level_agtron,target_finish_temp,variety,altitude,altitude_numeric,bean_density_proxy,drying_method,harvest_season,roaster_machine,preferred_extraction,caffeine_mg,flavor_notes_raw,flavor_notes_parsed,flavor_categories,roast_batch,roast_roast_date,roast_charge_temp,roast_duration,duration_seconds,duration_minutes,data_points,start_temp,finish_temp,min_temp,max_temp,turning_point_temp,turning_point_time
ColombiaElTambo-AMACA,https://onyxcoffeelab.com/products/colombia-el-tambo-amaca,Colombia,Washed,Moderate,71,415.0,"Caturra, Bourbon",,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,,Caramel Toasted Almond Milk Chocolate Citrus,"CARAMEL, TOASTED ALMOND, MILK CHOCOLATE, CITRUS","caramel, nutty, chocolate, fruity, citrus",93093,Yesterday at 11:36 am,427.8,11,682,11.366666666666667,683,427.8,409.1,148.7,427.8,148.7,40
ColombiaFaiderQuinteroPinkBourbon,https://onyxcoffeelab.com/products/colombia-faider-quintero-pink-bourbon,Colombia,Dry Washed,Expressive Light,123,395.0,Pink Bourbon,,,,Raised-Bed Dried,May,Diedrich CR-35,Filter & Espresso,,Grapefruit Raw Honey Orange Blossom Key Lime,"GRAPEFRUIT, RAW HONEY, ORANGE BLOSSOM, KEY LIME","fruity, citrus, sweet",92957,Oct 27,411.8,12,713,11.883333333333333,714,411.8,396.1,162.0,411.8,162.0,71
ColombiaJairoArcilaLychee,https://onyxcoffeelab.com/products/colombia-jairo-arcila-lychee,Colombia,Anaerobic Washed,Expressive Light,78,415.0,Castillo,,,,Raised-Bed Dried,September '24,Diedrich CR-35,Filter & Espresso,,Lychee Lime Rind Pineapple Rose,"LYCHEE, LIME RIND, PINEAPPLE, ROSE","citrus, fruity, floral",92940,Oct 27,414,12,735,12.25,736,414.0,404.1,165.9,414.0,165.9,73
ColombiaJhoanVergaraJava,https://onyxcoffeelab.com/products/colombia-jhoan-vergara-java-25,Colombia,Anaerobic Natural,Moderate,112,405.0,Java,,,,Raised-Bed Dried,November,Diedrich CR-35,Filter & Espresso,,Cherry Mixed Berries Violet Fruit Punch,"CHERRY, MIXED BERRIES, VIOLET, FRUIT PUNCH",fruity,90923,Sep 24,412.5,12,711,11.85,712,412.5,397.2,164.8,412.5,164.8,72
ColombiaLaRivieraNitroWatermelon,https://onyxcoffeelab.com/products/colombia-julio-madrid-nitro-watermelon-25,Colombia,"Anaerobic Washed, Innoculated",Expressive Light,125,395.0,Caturra,,,,Raised-Bed Dried,May,Diedrich CR-35,Filter & Espresso & Cold Brew,,Watermelon Raspberry Green Apple Rose,"WATERMELON, RASPBERRY, GREEN APPLE, ROSE","fruity, floral",93167,Today at 9:50 am,409.3,12,730,12.166666666666666,731,409.3,401.2,162.7,409.3,162.7,72
ColombiaMauricioShattahPinkBourbon,https://onyxcoffeelab.com/products/colombia-mauricio-shattah-pink-bourbon,Colombia,Anaerobic Natural,Light,123,395.0,Pink Bourbon,,,,Raised-Bed Dried,March,Diedrich CR-35,Filter & Espresso,,Pink Guava Green Apple Caramel Watermelon Candy,"PINK GUAVA, GREEN APPLE, CARAMEL, WATERMELON CANDY","fruity, caramel",93161,Today at 9:18 am,418.3,12,711,11.85,712,418.3,398.3,164.5,418.3,164.5,72
ColombiaTioConejoGeshaNatural,https://onyxcoffeelab.com/products/colombia-tio-conejo-gesha-natural-25,Colombia,Natural,Expressive Light,120,395.0,Gesha,,,,Raised-Bed Dried,March,Diedrich CR-35,Filter & Espresso,,Raspberry Vanilla Dried Cranberry Jasmine,"RASPBERRY, VANILLA, DRIED CRANBERRY, JASMINE","fruity, sweet, floral",92653,Oct 22,411.6,11,671,11.183333333333334,672,411.6,399.9,159.4,411.6,159.4,70
CostaRicaLasLajasNatural,https://onyxcoffeelab.com/products/costa-rica-las-lajas-natural-25,Costa Rica,Natural,Expressive Light,124,395.0,Catuai,,,,Patio DriedRaised-Bed Dried,February,Diedrich CR-35,Filter & Espresso,,Cherry Milk Chocolate Concord Grape Honey,"CHERRY, MILK CHOCOLATE, CONCORD GRAPE, HONEY","fruity, chocolate, sweet",93177,Today at 10:47 am,410.2,12,703,11.716666666666667,704,410.2,399.4,155.3,410.2,155.3,74
DecafColombiaInzáSanAntonio,https://onyxcoffeelab.com/products/decaf-colombia-inza-san-antonio,Colombia,Washed,Moderate,99,410.0,"Caturra, Bourbon",,,,Raised-Bed Dried,February '24,Loring S70 Peregrine,Filter & Espresso,24.0,Red Apple Raw Sugar Pear Maple,"RED APPLE, RAW SUGAR, PEAR, MAPLE","fruity, sweet",93206,Today at 2:47 pm,424,10,582,9.7,583,424.0,414.1,133.5,424.0,133.5,40
DecafColombiaJhoanVergaraPinkBourbon,https://onyxcoffeelab.com/products/decaf-colombia-jhoan-vergara,Colombia,Anaerobic Washed,Expressive Dark,118,405.0,Pink Bourbon,,,,Mechanical Dried,November,Diedrich CR-35,Filter,,Tangerine Oolong Tea Mulling Spices Hazelnut,"TANGERINE, OOLONG TEA, MULLING SPICES, HAZELNUT","citrus, tea, spice, nutty",93027,Oct 28,412,11,686,11.433333333333334,687,412.0,397.2,158.0,412.0,158.0,70
DeltaSpiritEspressoBlend,https://onyxcoffeelab.com/products/delta-spirit-espresso-blend,"Colombia, Ethiopia","Natural, Washed",Moderate,65,415.0,"Landrace, Bourbon, Caturra",,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,,Milk Chocolate Pomegranate Smoked Vanilla Bean Silky,"MILK CHOCOLATE, POMEGRANATE, SMOKED VANILLA BEAN, SILKY","chocolate, sweet, body",93172,Today at 10:16 am,426.5,14,812,13.533333333333333,813,426.5,421.1,146.3,426.5,146.3,42
