product_name,url,origin,process,roast_level,roast_level_agtron,target_finish_temp,variety,altitude,altitude_numeric,bean_density_proxy,drying_method,harvest_season,roaster_machine,preferred_extraction,caffeine_mg,flavor_notes_raw,flavor_notes_parsed,flavor_categories,roast_batch,roast_roast_date,roast_charge_temp,roast_duration,duration_seconds,duration_minutes,data_points,start_temp,finish_temp,min_temp,max_temp,turning_point_temp,turning_point_time
ColombiaLaRivieraNitroWatermelon,https://onyxcoffeelab.com/products/colombia-julio-madrid-nitro-watermelon-25,Colombia,"Anaerobic Washed, Innoculated",Expressive Light,125,395.0,Caturra,,,,Raised-Bed Dried,May,Diedrich CR-35,Filter & Espresso & Cold Brew,,Watermelon Raspberry Green Apple Rose,"WATERMELON, RASPBERRY, GREEN APPLE, ROSE","fruity, floral",93347,Today at 11:53 am,412.5,12,738,12.3,739,412.5,400.8,164.3,412.5,164.3,74
ColombiaSebastianRamirezCaturraIPA,https://onyxcoffeelab.com/products/colombia-sebastian-ramirez-caturra-ipa,Colombia,"Innoculated, Anaerobic Natural",Light,119,405.0,Caturra,,,,Patio Dried,January,Diedrich CR-35,Filter & Espresso,,Mango Lemongrass Orange Peel Lemon Candy,"MANGO, LEMONGRASS, ORANGE PEEL, LEMON CANDY",citrus,93330,Today at 10:04 am,410.7,12,694,11.566666666666666,695,410.7,393.1,164.3,410.7,164.3,71
Eclipse,https://onyxcoffeelab.com/products/eclipse,Colombia,Washed,Dark,62,415.0,Caturra,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-35,Filter,262.0,Baker's Chocolate Burnt Sugar Smoked Vanilla Bean,"BAKER'S CHOCOLATE, BURNT SUGAR, SMOKED VANILLA BEAN","chocolate, sweet",93313,Today at 8:29 am,455.9,15,902,15.033333333333333,903,455.9,428.2,162.5,455.9,162.5,104
EthiopiaBochesaAnaerobicWashed,https://onyxcoffeelab.com/products/ethiopia-bochesa-anaerobic-washed,Ethiopia,Anaerobic Washed,Expressive Light,128,395.0,Landrace,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Peach Jasmine Yellow Pear Caramel,"PEACH, JASMINE, YELLOW PEAR, CARAMEL","fruity, floral, caramel",93338,Today at 10:46 am,412.2,11,639,10.65,640,412.2,397.4,162.3,412.2,162.3,67
EthiopiaGeraEstateAnaerobic,https://onyxcoffeelab.com/products/ethiopia-gera-estate-anaerobic,Ethiopia,Anaerobic Natural,Expressive Light,127,395.0,Landrace,,,,Raised-Bed Dried,October,Diedrich CR-35,Filter & Espresso,,Raspberry Magnolia Watermelon Vanilla,"RASPBERRY, MAGNOLIA, WATERMELON, VANILLA","fruity, sweet",93349,Today at 12:06 pm,410.2,11,684,11.4,685,410.2,401.7,158.7,410.2,158.7,74
Geometry,https://onyxcoffeelab.com/products/geometry,"Colombia, Ethiopia",Washed,Expressive Light,135,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,215.0,Berries Stone Fruit Earl Grey Honeysuckle Round,"BERRIES, STONE FRUIT, EARL GREY, HONEYSUCKLE, ROUND","fruity, tea, floral, sweet, body",93331,Today at 10:14 am,423,9,561,9.35,562,423.0,404.6,142.1,423.0,142.1,46
IndiaKerehakluEstate,https://onyxcoffeelab.com/products/india-kerehaklu-estate,India,Culture-Innoculated Washed,Expressive Light,129,395.0,Sarchimore,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter,,Pear Herbal Tea Cashew Clove,"PEAR, HERBAL TEA, CASHEW, CLOVE","tea, herbal, spice",93340,Today at 10:59 am,413.8,10,599,9.983333333333333,600,413.8,398.3,165.6,413.8,165.6,69
Monarch,https://onyxcoffeelab.com/products/monarch,"Colombia, Ethiopia",Washed,Expressive Dark,99,410.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-70,Espresso,230.0,Dark Chocolate Molasses Red Wine Dried Berries Thick & Syrupy,"DARK CHOCOLATE, MOLASSES, RED WINE, DRIED BERRIES, THICK & SYRUPY","chocolate, caramel, fruity, body",93356,Today at 1:10 pm,454.1,13,752,12.533333333333333,753,454.1,413.2,165.9,454.1,165.9,97
SouthernWeather,https://onyxcoffeelab.com/products/southern-weather,"Honduras, Colombia, Ethiopia",Washed,Light,123,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter,244.0,Milk Chocolate Plum Candied Walnuts Juicy & Citrus Finish,"MILK CHOCOLATE, PLUM, CANDIED WALNUTS, JUICY & CITRUS FINISH","chocolate, fruity, nutty, citrus",93354,Today at 12:55 pm,426.8,11,631,10.516666666666667,632,426.8,407.2,146.2,426.8,146.2,43
TropicalWeather,https://onyxcoffeelab.com/products/tropical-weather,Ethiopia,"Washed, Natural",Expressive Light,126,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,215.0,Mixed Berries Sweet Tea Raw Honey Plum,"MIXED BERRIES, SWEET TEA, RAW HONEY, PLUM","fruity, tea, sweet",93343,Today at 11:20 am,427.1,10,599,9.983333333333333,600,427.1,402.8,145.1,427.1,145.1,39
UgandaLongMilesLunarStationNatural,https://onyxcoffeelab.com/products/uganda-long-miles-lunar-station,Uganda,Natural,Expressive Light,126,395.0,SL28,,,,Raised-Bed Dried,June,Diedrich CR-35,Filter & Espresso,,Rose Cranberry Milk Chocolate Plum,"ROSE, CRANBERRY, MILK CHOCOLATE, PLUM","floral, fruity, chocolate",93344,Today at 11:32 am,413.8,11,682,11.366666666666667,683,413.8,396.7,159.6,413.8,159.6,74
