product_name,url,origin,process,roast_level,roast_level_agtron,target_finish_temp,variety,altitude,altitude_numeric,bean_density_proxy,drying_method,harvest_season,roaster_machine,preferred_extraction,caffeine_mg,flavor_notes_raw,flavor_notes_parsed,flavor_categories,roast_batch,roast_roast_date,roast_charge_temp,roast_duration,duration_seconds,duration_minutes,data_points,start_temp,finish_temp,min_temp,max_temp,turning_point_temp,turning_point_time
ColdBrew,https://onyxcoffeelab.com/products/cold-brew,Colombia,Washed,Moderate,85,410.0,Caturra,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-70,Cold Brew,,Cocoa Dates Brown Sugar Stone Fruit Creamy,"COCOA, DATES, BROWN SUGAR, STONE FRUIT, CREAMY","chocolate, caramel, sweet, fruity, body",93273,Today at 12:29 pm,460.8,14,833,13.883333333333333,834,460.8,414.0,167.2,460.8,167.2,101
CostaRicaLasLajasNatural,https://onyxcoffeelab.com/products/costa-rica-las-lajas-natural-25,Costa Rica,Natural,Expressive Light,124,395.0,Catuai,,,,Patio DriedRaised-Bed Dried,February,Diedrich CR-35,Filter & Espresso,,Cherry Milk Chocolate Concord Grape Honey,"CHERRY, MILK CHOCOLATE, CONCORD GRAPE, HONEY","fruity, chocolate, sweet",93279,Today at 1:09 pm,418.6,12,704,11.733333333333333,705,418.6,399.4,159.1,418.6,159.1,71
EthiopiaGattaHoney,https://onyxcoffeelab.com/products/ethiopia-gatta-honey,Ethiopia,White Honey,Expressive Light,130,395.0,Landrace,,,,Raised-Bed Dried,March,Loring S70 Peregrine,Filter,,Apricot Honey Sweet Tea Yellow Pear,"APRICOT, HONEY, SWEET TEA, YELLOW PEAR","fruity, sweet, tea",93275,Today at 12:43 pm,412.5,11,644,10.733333333333333,645,412.5,398.8,162.0,412.5,162.0,70
Monarch,https://onyxcoffeelab.com/products/monarch,"Colombia, Ethiopia",Washed,Expressive Dark,99,410.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-70,Espresso,230.0,Dark Chocolate Molasses Red Wine Dried Berries Thick & Syrupy,"DARK CHOCOLATE, MOLASSES, RED WINE, DRIED BERRIES, THICK & SYRUPY","chocolate, caramel, fruity, body",93281,Today at 1:18 pm,439.9,13,771,12.85,772,439.9,412.9,165.9,439.9,165.9,97
SouthernWeather,https://onyxcoffeelab.com/products/southern-weather,"Honduras, Colombia, Ethiopia",Washed,Light,123,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter,244.0,Milk Chocolate Plum Candied Walnuts Juicy & Citrus Finish,"MILK CHOCOLATE, PLUM, CANDIED WALNUTS, JUICY & CITRUS FINISH","chocolate, fruity, nutty, citrus",93280,Today at 1:10 pm,425,10,621,10.35,622,425.0,407.2,148.1,425.0,148.1,46
Telos,https://onyxcoffeelab.com/products/telos,El Salvador,Washed,Expressive Light,130,395.0,Pacamara,,,,Raised-Bed Dried,February,Diedrich CR-35,Filter & Espresso,,Raisin Black Tea Rose Cara Cara Orange,"RAISIN, BLACK TEA, ROSE, CARA CARA ORANGE","tea, floral, citrus",93272,Today at 12:28 pm,420.1,12,724,12.066666666666666,725,420.1,403.5,159.6,420.1,159.6,77
