product_name,url,origin,process,roast_level,roast_level_agtron,target_finish_temp,variety,altitude,altitude_numeric,bean_density_proxy,drying_method,harvest_season,roaster_machine,preferred_extraction,caffeine_mg,flavor_notes_raw,flavor_notes_parsed,flavor_categories,roast_batch,roast_roast_date,roast_charge_temp,roast_duration,duration_seconds,duration_minutes,data_points,start_temp,finish_temp,min_temp,max_temp,turning_point_temp,turning_point_time
ColdBrew,https://onyxcoffeelab.com/products/cold-brew,Colombia,Washed,Moderate,85,410.0,Caturra,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-70,Cold Brew,,Cocoa Dates Brown Sugar Stone Fruit Creamy,"COCOA, DATES, BROWN SUGAR, STONE FRUIT, CREAMY","chocolate, caramel, sweet, fruity, body",93511,Today at 6:09 pm,438.1,14,840,14.0,841,438.1,413.4,165.6,438.1,165.6,97
ColombiaAponteVillageHoney,https://onyxcoffeelab.com/products/colombia-aponte-village-honey-25,Colombia,Red Honey,Expressive Light,127,395.0,Field Blend,,,,Raised-Bed Dried,April,Loring S70 Peregrine,Filter & Espresso,,Rainier Cherry Butterscotch Green Apple Papaya,"RAINIER CHERRY, BUTTERSCOTCH, GREEN APPLE, PAPAYA","fruity, caramel",93389,Yesterday at 9:01 am,423.2,10,588,9.8,589,423.2,402.5,139.3,423.2,139.3,42
ColombiaElTambo-AMACA,https://onyxcoffeelab.com/products/colombia-el-tambo-amaca,Colombia,Washed,Moderate,71,415.0,"Caturra, Bourbon",,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,,Caramel Toasted Almond Milk Chocolate Citrus,"CARAMEL, TOASTED ALMOND, MILK CHOCOLATE, CITRUS","caramel, nutty, chocolate, fruity, citrus",93479,Today at 10:43 am,426.2,11,679,11.316666666666666,680,426.2,408.9,147.4,426.2,147.4,42
ColombiaFaiderQuinteroPinkBourbon,https://onyxcoffeelab.com/products/colombia-faider-quintero-pink-bourbon,Colombia,Dry Washed,Expressive Light,123,395.0,Pink Bourbon,,,,Raised-Bed Dried,May,Diedrich CR-35,Filter & Espresso,,Grapefruit Raw Honey Orange Blossom Key Lime,"GRAPEFRUIT, RAW HONEY, ORANGE BLOSSOM, KEY LIME","fruity, citrus, sweet",93485,Today at 12:00 pm,406.9,12,708,11.8,709,406.9,396.3,163.4,406.9,163.4,68
ColombiaSebastianRamirezCaturraIPA,https://onyxcoffeelab.com/products/colombia-sebastian-ramirez-caturra-ipa,Colombia,"Innoculated, Anaerobic Natural",Light,119,405.0,Caturra,,,,Patio Dried,January,Diedrich CR-35,Filter & Espresso,,Mango Lemongrass Orange Peel Lemon Candy,"MANGO, LEMONGRASS, ORANGE PEEL, LEMON CANDY",citrus,93504,Today at 3:42 pm,406,12,694,11.566666666666666,695,406.0,392.9,162.7,406.0,162.7,72
ColombiaTioConejoGeshaNatural,https://onyxcoffeelab.com/products/colombia-tio-conejo-gesha-natural-25,Colombia,Natural,Expressive Light,120,395.0,Gesha,,,,Raised-Bed Dried,March,Diedrich CR-35,Filter & Espresso,,Raspberry Vanilla Dried Cranberry Jasmine,"RASPBERRY, VANILLA, DRIED CRANBERRY, JASMINE","fruity, sweet, floral",93424,Yesterday at 12:54 pm,414.3,11,683,11.383333333333333,684,414.3,400.1,159.6,414.3,159.6,72
CostaRicaLasLajasNatural,https://onyxcoffeelab.com/products/costa-rica-las-lajas-natural-25,Costa Rica,Natural,Expressive Light,124,395.0,Catuai,,,,Patio DriedRaised-Bed Dried,February,Diedrich CR-35,Filter & Espresso,,Cherry Milk Chocolate Concord Grape Honey,"CHERRY, MILK CHOCOLATE, CONCORD GRAPE, HONEY","fruity, chocolate, sweet",93434,Yesterday at 1:56 pm,412,12,707,11.783333333333333,708,412.0,399.4,157.1,412.0,157.1,72
DecafColombiaInzáSanAntonio,https://onyxcoffeelab.com/products/decaf-colombia-inza-san-antonio,Colombia,Washed,Moderate,99,410.0,"Caturra, Bourbon",,,,Raised-Bed Dried,February '24,Loring S70 Peregrine,Filter & Espresso,24.0,Red Apple Raw Sugar Pear Maple,"RED APPLE, RAW SUGAR, PEAR, MAPLE","fruity, sweet",93455,Yesterday at 7:22 pm,369.9,10,588,9.8,589,369.9,414.1,141.8,414.1,141.8,39
EcuadorHaciendaLaPapayaSidra,https://onyxcoffeelab.com/products/ecuador-hacienda-la-papaya-sidra,Ecuador,Washed,Expressive Light,131,395.0,Sidra,,,,Raised-Bed Dried,September '24,Diedrich CR-35,Filter & Espresso,,Clove Red Apple Molasses Milk Chocolate,"CLOVE, RED APPLE, MOLASSES, MILK CHOCOLATE","spice, fruity, caramel, chocolate",93501,Today at 1:42 pm,415.9,11,652,10.866666666666667,653,415.9,399.6,165.6,415.9,165.6,70
EthiopiaBochesaAnaerobicWashed,https://onyxcoffeelab.com/products/ethiopia-bochesa-anaerobic-washed,Ethiopia,Anaerobic Washed,Expressive Light,128,395.0,Landrace,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Peach Jasmine Yellow Pear Caramel,"PEACH, JASMINE, YELLOW PEAR, CARAMEL","fruity, floral, caramel",93418,Yesterday at 12:28 pm,412.9,11,647,10.783333333333333,648,412.9,398.1,160.7,412.9,160.7,70
