product_name,url,origin,process,roast_level,roast_level_agtron,target_finish_temp,variety,altitude,altitude_numeric,bean_density_proxy,drying_method,harvest_season,roaster_machine,preferred_extraction,caffeine_mg,flavor_notes_raw,flavor_notes_parsed,flavor_categories,roast_batch,roast_roast_date,roast_charge_temp,roast_duration,duration_seconds,duration_minutes,data_points,start_temp,finish_temp,min_temp,max_temp,turning_point_temp,turning_point_time
EthiopiaBochesaNatural,https://onyxcoffeelab.com/products/ethiopia-bochesa-natural,Ethiopia,Natural,Light,128,395.0,Landrace,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Tangerine Honey Pastry Plum Vanilla,"TANGERINE, HONEY PASTRY, PLUM, VANILLA","citrus, sweet, fruity",93470,Today at 9:47 am,408.2,11,653,10.883333333333333,654,408.2,399.2,160.5,408.2,160.5,70
EthiopiaGattaHoney,https://onyxcoffeelab.com/products/ethiopia-gatta-honey,Ethiopia,White Honey,Expressive Light,130,395.0,Landrace,,,,Raised-Bed Dried,March,Loring S70 Peregrine,Filter,,Apricot Honey Sweet Tea Yellow Pear,"APRICOT, HONEY, SWEET TEA, YELLOW PEAR","fruity, sweet, tea",93406,Yesterday at 10:37 am,414.1,11,653,10.883333333333333,654,414.1,398.1,163.8,414.1,163.8,68
EthiopiaGeraEstateAnaerobic,https://onyxcoffeelab.com/products/ethiopia-gera-estate-anaerobic,Ethiopia,Anaerobic Natural,Expressive Light,127,395.0,Landrace,,,,Raised-Bed Dried,October,Diedrich CR-35,Filter & Espresso,,Raspberry Magnolia Watermelon Vanilla,"RASPBERRY, MAGNOLIA, WATERMELON, VANILLA","fruity, sweet",93495,Today at 1:00 pm,412.9,11,668,11.133333333333333,669,412.9,402.6,157.6,412.9,157.6,71
EthiopiaHamashoAnaerobicNatural,https://onyxcoffeelab.com/products/ethiopia-hamasho-anaerobic-natural,Ethiopia,Anaerobic Natural,Expressive Light,130,395.0,Landrace,,,,Raised-Bed Dried,March,Diedrich CR-35,Filter & Espresso,,Strawberry Vanilla Custard Mango Anise,"STRAWBERRY, VANILLA CUSTARD, MANGO, ANISE","fruity, sweet",93480,Today at 10:44 am,411.4,10,625,10.416666666666666,626,411.4,399.0,160.5,411.4,160.5,68
Geometry,https://onyxcoffeelab.com/products/geometry,"Colombia, Ethiopia",Washed,Expressive Light,135,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,215.0,Berries Stone Fruit Earl Grey Honeysuckle Round,"BERRIES, STONE FRUIT, EARL GREY, HONEYSUCKLE, ROUND","fruity, tea, floral, sweet, body",93496,Today at 1:06 pm,423.1,10,577,9.616666666666667,578,423.1,404.4,145.8,423.1,145.8,40
GuatemalaFincaLibanoGesha,https://onyxcoffeelab.com/products/guatemala-finca-libano-gesha,Guatemala,Washed,Expressive Moderate,130,395.0,Gesha,,,,Raised-Bed Dried,February,Diedrich CR-35,Filter & Espresso,,Raw Sugar Oolong Tea Peach Jasmine,"RAW SUGAR, OOLONG TEA, PEACH, JASMINE","sweet, tea, fruity, floral",93467,Today at 9:31 am,419.7,11,630,10.5,631,419.7,397.8,165.7,419.7,165.7,69
IndiaRatnagiriEstate,https://onyxcoffeelab.com/products/india-ratnagiri-estate,India,Anaerobic Washed,Expressive Light,127,395.0,Catuai,,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Almond Honeycomb Vanilla Pear,"ALMOND, HONEYCOMB, VANILLA, PEAR","nutty, sweet",93415,Yesterday at 12:15 pm,419.9,11,668,11.133333333333333,669,419.9,396.5,174.0,419.9,174.0,72
IndonesiaHendraMaulizarAnaerobic,https://onyxcoffeelab.com/products/indonesia-hendra-maulizar-anaerobic-natural,Indonesia,Anaerobic Natural,Expressive Light,126,395.0,Abbysinia,,,,Raised-Bed Dried,September,Diedrich CR-35,Filter & Espresso,,Hibiscus Guava Plantain Winey,"HIBISCUS, GUAVA, PLANTAIN, WINEY",floral,93491,Today at 12:39 pm,411.8,11,673,11.216666666666667,674,411.8,402.4,163.4,411.8,163.4,72
KenyaGichangiEstateAA,https://onyxcoffeelab.com/products/kenya-gichangi-estate-aa,Kenya,Dry Washed,Expressive Light,129,395.0,"SL28, SL34, Ruiru 11, Batian",,,,Raised-Bed Dried,December,Diedrich CR-35,Filter & Espresso,,Applesauce Grapefruit Brown Sugar Nutmeg,"APPLESAUCE, GRAPEFRUIT, BROWN SUGAR, NUTMEG","fruity, citrus, caramel, sweet, nutty, spice",93476,Today at 10:27 am,408.7,10,628,10.466666666666667,629,408.7,399.0,158.9,408.7,158.9,73
KenyaKibingoEstate,https://onyxcoffeelab.com/products/kenya-kibingo-estate,Kenya,Dry Washed,Expressive Light,128,395.0,"SL28, SL34",,,,Raised-Bed Dried,November,Diedrich CR-35,Filter & Espresso,,Blackberry Sweet Lemon Black Cherry Yellow Pear,"BLACKBERRY, SWEET LEMON, BLACK CHERRY, YELLOW PEAR","fruity, citrus, sweet",93436,Yesterday at 2:09 pm,414,10,604,10.066666666666666,605,414.0,398.8,161.2,414.0,161.2,75
Monarch,https://onyxcoffeelab.com/products/monarch,"Colombia, Ethiopia",Washed,Expressive Dark,99,410.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-70,Espresso,230.0,Dark Chocolate Molasses Red Wine Dried Berries Thick & Syrupy,"DARK CHOCOLATE, MOLASSES, RED WINE, DRIED BERRIES, THICK & SYRUPY","chocolate, caramel, fruity, body",93519,Today at 8:07 pm,440.2,14,809,13.483333333333333,810,440.2,416.7,168.6,440.2,168.6,96
SouthernWeather,https://onyxcoffeelab.com/products/southern-weather,"Honduras, Colombia, Ethiopia",Washed,Light,123,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter,244.0,Milk Chocolate Plum Candied Walnuts Juicy & Citrus Finish,"MILK CHOCOLATE, PLUM, CANDIED WALNUTS, JUICY & CITRUS FINISH","chocolate, fruity, nutty, citrus",93502,Today at 1:50 pm,422.2,10,615,10.25,616,422.2,406.3,149.8,422.9,149.8,44
Telos,https://onyxcoffeelab.com/products/telos,El Salvador,Washed,Expressive Light,130,395.0,Pacamara,,,,Raised-Bed Dried,February,Diedrich CR-35,Filter & Espresso,,Raisin Black Tea Rose Cara Cara Orange,"RAISIN, BLACK TEA, ROSE, CARA CARA ORANGE","tea, floral, citrus",93457,Today at 8:27 am,420.1,12,739,12.316666666666666,740,420.1,402.6,153.7,420.1,153.7,75
TropicalWeather,https://onyxcoffeelab.com/products/tropical-weather,Ethiopia,"Washed, Natural",Expressive Light,126,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,215.0,Mixed Berries Sweet Tea Raw Honey Plum,"MIXED BERRIES, SWEET TEA, RAW HONEY, PLUM","fruity, tea, sweet",93488,Today at 12:25 pm,425.1,10,577,9.616666666666667,578,425.1,403.0,147.3,425.1,147.3,41
