product_name,url,origin,process,roast_level,roast_level_agtron,target_finish_temp,variety,altitude,altitude_numeric,bean_density_proxy,drying_method,harvest_season,roaster_machine,preferred_extraction,caffeine_mg,flavor_notes_raw,flavor_notes_parsed,flavor_categories,roast_batch,roast_roast_date,roast_charge_temp,roast_duration,duration_seconds,duration_minutes,data_points,start_temp,finish_temp,min_temp,max_temp,turning_point_temp,turning_point_time
ColombiaLaRivieraNitroWatermelon,https://onyxcoffeelab.com/products/colombia-julio-madrid-nitro-watermelon-25,Colombia,"Anaerobic Washed, Innoculated",Expressive Light,125,395.0,Caturra,,,,Raised-Bed Dried,May,Diedrich CR-35,Filter & Espresso & Cold Brew,,Watermelon Raspberry Green Apple Rose,"WATERMELON, RASPBERRY, GREEN APPLE, ROSE","fruity, floral",93734,Today at 9:06 am,409.8,12,729,12.15,730,409.8,401.7,162.1,409.8,162.1,75
DecafColombiaInzáSanAntonio,https://onyxcoffeelab.com/products/decaf-colombia-inza-san-antonio,Colombia,Washed,Moderate,99,410.0,"Caturra, Bourbon",,,,Raised-Bed Dried,February '24,Loring S70 Peregrine,Filter & Espresso,24.0,Red Apple Raw Sugar Pear Maple,"RED APPLE, RAW SUGAR, PEAR, MAPLE","fruity, sweet",93747,Today at 10:33 am,428.3,10,601,10.016666666666667,602,428.3,415.4,130.4,428.3,130.4,41
Eclipse,https://onyxcoffeelab.com/products/eclipse,Colombia,Washed,Dark,62,415.0,Caturra,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-35,Filter,262.0,Baker's Chocolate Burnt Sugar Smoked Vanilla Bean,"BAKER'S CHOCOLATE, BURNT SUGAR, SMOKED VANILLA BEAN","chocolate, sweet",93732,Today at 8:49 am,433.4,15,869,14.483333333333333,870,433.4,427.1,162.9,433.4,162.9,98
EthiopiaGeraEstateAnaerobic,https://onyxcoffeelab.com/products/ethiopia-gera-estate-anaerobic,Ethiopia,Anaerobic Natural,Expressive Light,127,395.0,Landrace,,,,Raised-Bed Dried,October,Diedrich CR-35,Filter & Espresso,,Raspberry Magnolia Watermelon Vanilla,"RASPBERRY, MAGNOLIA, WATERMELON, VANILLA","fruity, sweet",93740,Today at 9:34 am,412.3,11,679,11.316666666666666,680,412.3,401.4,158.0,412.3,158.0,69
EthiopiaHamashoAnaerobicNatural,https://onyxcoffeelab.com/products/ethiopia-hamasho-anaerobic-natural,Ethiopia,Anaerobic Natural,Expressive Light,130,395.0,Landrace,,,,Raised-Bed Dried,March,Diedrich CR-35,Filter & Espresso,,Strawberry Vanilla Custard Mango Anise,"STRAWBERRY, VANILLA CUSTARD, MANGO, ANISE","fruity, sweet",93731,Today at 8:48 am,415,11,649,10.816666666666666,650,415.0,397.8,161.1,415.0,161.1,69
GuatemalaFincaLibanoGesha,https://onyxcoffeelab.com/products/guatemala-finca-libano-gesha,Guatemala,Washed,Expressive Moderate,130,395.0,Gesha,,,,Raised-Bed Dried,February,Diedrich CR-35,Filter & Espresso,,Raw Sugar Oolong Tea Peach Jasmine,"RAW SUGAR, OOLONG TEA, PEACH, JASMINE","sweet, tea, fruity, floral",93749,Today at 11:12 am,419.4,11,637,10.616666666666667,638,419.4,399.6,171.1,419.4,171.1,70
Monarch,https://onyxcoffeelab.com/products/monarch,"Colombia, Ethiopia",Washed,Expressive Dark,99,410.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Diedrich CR-70,Espresso,230.0,Dark Chocolate Molasses Red Wine Dried Berries Thick & Syrupy,"DARK CHOCOLATE, MOLASSES, RED WINE, DRIED BERRIES, THICK & SYRUPY","chocolate, caramel, fruity, body",93772,Today at 2:24 pm,437,13,778,12.966666666666667,779,437.0,412.5,164.1,437.0,164.1,99
SouthernWeather,https://onyxcoffeelab.com/products/southern-weather,"Honduras, Colombia, Ethiopia",Washed,Light,123,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter,244.0,Milk Chocolate Plum Candied Walnuts Juicy & Citrus Finish,"MILK CHOCOLATE, PLUM, CANDIED WALNUTS, JUICY & CITRUS FINISH","chocolate, fruity, nutty, citrus",93780,Today at 4:10 pm,424.1,11,633,10.55,634,424.1,405.4,148.8,424.1,148.8,46
Telos,https://onyxcoffeelab.com/products/telos,El Salvador,Washed,Expressive Light,130,395.0,Pacamara,,,,Raised-Bed Dried,February,Diedrich CR-35,Filter & Espresso,,Raisin Black Tea Rose Cara Cara Orange,"RAISIN, BLACK TEA, ROSE, CARA CARA ORANGE","tea, floral, citrus",93744,Today at 9:58 am,414.3,12,743,12.383333333333333,744,414.3,402.1,152.1,414.3,152.1,79
TropicalWeather,https://onyxcoffeelab.com/products/tropical-weather,Ethiopia,"Washed, Natural",Expressive Light,126,395.0,Mixed,,,,Raised-Bed Dried,Rotating Microlots,Loring S70 Peregrine,Filter & Espresso,215.0,Mixed Berries Sweet Tea Raw Honey Plum,"MIXED BERRIES, SWEET TEA, RAW HONEY, PLUM","fruity, tea, sweet",93769,Today at 2:02 pm,425.5,10,585,9.75,586,425.5,403.6,143.6,425.5,143.6,42
